0, 0
5, 2
10, 4
15, 6
20, 8
25, 10
30, 12
35, 14
40, 16
45, 18
50, 20
55, 22
60, 24
65, 26
70, 28
75, 30
80, 32
85, 34
90, 36
95, 38
100, 40
105, 42
110, 44
115, 46
120, 48
125, 50
130, 52
135, 54
140, 56
145, 58
150, 60
155, 62
160, 64
165, 66
170, 68
175, 70
180, 72
185, 74
190, 76
195, 78
200, 80
205, 82
210, 84
215, 86
220, 88
225, 90
230, 92
235, 94
240, 96
245, 98
250, 100
255, 102
260, 104
265, 106
270, 108
275, 110
280, 112
285, 114
290, 116
295, 118
300, 120
305, 122
310, 124
315, 126
320, 128
325, 130
330, 132
335, 134
340, 136
345, 138
350, 140
355, 142
360, 144
365, 146
370, 148
375, 150
380, 152
385, 154
390, 156
395, 158
